usuario,pelicula1,pelicula2,pelicula3,pelicula4,pelicula5,pelicula6
User21019,1,2,1,3,1,5
User21020,1,5,3,1,3,1
User21021,3,2,2,5,5,5
User21022,3,3,5,1,2,4
User21023,1,4,4,5,5,1
User21024,5,5,2,1,1,2
User21025,4,5,2,5,5,5
User21026,3,5,5,4,3,1
User21027,4,3,2,4,3,3
User21028,1,2,4,5,2,5
User21029,1,2,1,1,3,3
User21030,3,1,5,4,1,2
User21031,1,1,1,5,4,3
User21032,4,4,1,4,1,1
User21033,5,3,3,3,2,3
User21034,4,1,2,1,5,3
User21035,4,5,3,2,2,5
User21036,5,4,4,4,5,5
User21037,4,1,4,5,3,3
User21038,1,2,4,3,4,4
User21039,5,2,1,1,5,4
User21040,4,3,4,1,3,2
User21041,5,5,1,1,4,4
User21042,4,1,5,3,1,5
User21043,4,4,4,4,4,1
User21044,5,3,2,3,2,5
User21045,2,3,4,1,4,3
User21046,4,1,4,2,5,1
User21047,2,1,3,5,1,5
User21048,2,5,2,4,4,4
User21049,3,2,1,1,4,4
User21050,2,2,4,5,3,1
User21051,4,1,3,2,3,5
User21052,2,4,2,2,1,5
User21053,4,3,3,2,2,2
User21054,2,4,5,4,3,2
User21055,5,5,2,2,4,4
User21056,2,2,4,2,3,4
User21057,2,5,5,5,2,5
User21058,2,4,3,2,3,3
User21059,1,1,3,5,5,5
User21060,5,3,3,2,4,1
User21061,3,5,4,5,2,5
User21062,3,3,2,1,2,3
User21063,1,5,3,1,2,1
User21064,3,5,4,4,2,2
User21065,1,3,4,2,5,1
User21066,4,1,3,4,4,3
User21067,2,5,5,5,2,4
User21068,3,3,1,2,2,2
User21069,5,1,3,1,2,2
User21070,4,4,2,4,5,1
User21071,4,2,4,5,5,3
User21072,4,1,4,2,4,2
User21073,5,1,2,4,3,5
User21074,2,5,1,4,4,2
User21075,3,1,1,4,1,2
User21076,4,3,3,2,5,3
User21077,2,3,5,2,3,4
User21078,2,1,3,4,1,4
User21079,5,3,3,1,5,5
User21080,5,5,3,1,1,4
User21081,5,1,4,5,2,4
User21082,2,2,1,3,5,4
User21083,2,1,3,1,1,1
User21084,5,2,4,4,5,1
User21085,4,3,3,5,1,4
User21086,5,5,1,3,5,1
User21087,1,5,4,3,5,1
User21088,4,3,1,4,2,2
User21089,3,3,2,1,2,1
User21090,2,1,1,4,5,4
User21091,3,2,4,3,2,5
User21092,1,1,2,1,1,5
User21093,4,2,2,1,2,5
User21094,3,5,2,2,4,5
User21095,1,4,3,1,4,4
User21096,4,1,3,2,1,1
User21097,4,5,1,4,5,2
User21098,2,4,3,4,2,3
User21099,5,3,4,2,5,2
User21100,2,1,4,5,1,4
User21101,4,4,3,4,4,1
User21102,3,1,5,1,4,4
User21103,2,2,2,3,2,2
User21104,2,1,4,2,1,1
User21105,3,3,5,4,5,2
User21106,4,3,2,2,2,3
User21107,3,1,3,5,1,4
User21108,1,4,1,2,4,1
User21109,4,3,3,5,2,1
User21110,4,4,3,1,2,3
User21111,2,3,5,1,3,4
User21112,5,5,5,3,1,1
User21113,2,3,2,3,2,5
User21114,1,4,2,2,2,1
User21115,2,3,4,5,3,3
User21116,5,4,5,2,4,1
User21117,1,4,3,2,2,1
User21118,2,4,5,3,2,3
User21119,2,5,1,2,5,2
User21120,5,3,3,1,4,2
User21121,2,5,1,4,2,5
User21122,2,3,1,4,1,1
User21123,3,3,1,5,4,1
User21124,2,4,4,2,2,5
User21125,1,1,3,5,1,4
User21126,5,5,5,5,3,1
User21127,3,2,2,3,3,3
User21128,5,1,3,2,3,1
User21129,4,3,3,2,2,1
User21130,5,3,3,3,1,4
User21131,4,4,1,1,5,5
User21132,5,3,5,5,1,1
User21133,4,2,4,5,5,3
User21134,1,1,2,1,4,1
User21135,4,1,2,1,2,5
User21136,2,4,3,3,5,1
User21137,5,5,4,5,5,5
User21138,1,3,3,2,4,1
User21139,1,1,1,2,3,3
User21140,1,1,5,1,4,1
User21141,3,1,4,2,4,2
User21142,3,4,1,1,3,3
User21143,1,4,1,1,4,2
User21144,4,1,2,4,3,3
User21145,5,4,5,3,4,5
User21146,2,3,4,1,2,5
User21147,1,2,2,4,5,2
User21148,1,3,5,2,3,5
User21149,5,2,5,3,2,1
User21150,5,1,3,1,4,1
User21151,5,2,2,2,2,2
User21152,5,5,2,1,1,3
User21153,1,5,4,2,3,2
User21154,4,1,5,5,4,5
User21155,2,4,5,1,4,4
User21156,2,2,1,3,4,4
User21157,4,2,4,5,4,2
User21158,1,4,5,3,2,5
User21159,4,2,2,5,1,4
User21160,3,5,3,3,4,5
User21161,5,3,4,2,2,2
User21162,1,3,2,5,5,1
User21163,2,1,5,5,1,3
User21164,1,2,4,5,4,4
User21165,4,3,1,3,5,5
User21166,4,1,4,1,5,2
User21167,5,3,4,2,4,3
User21168,1,1,2,1,3,4
User21169,3,3,3,4,2,5
User21170,5,1,4,2,1,1
User21171,5,3,5,3,2,5
User21172,2,1,1,4,2,2
User21173,5,4,1,3,4,4
User21174,4,5,3,2,4,1
User21175,1,1,1,4,2,1
User21176,1,5,1,1,4,1
User21177,5,5,2,5,4,5
User21178,3,1,2,5,1,2
User21179,1,4,2,4,3,3
User21180,2,4,4,3,2,5
User21181,1,5,1,3,2,3
User21182,3,1,3,4,2,3
User21183,2,3,2,2,2,2
User21184,3,3,5,5,2,5
User21185,1,3,2,2,5,2
User21186,2,4,3,4,1,1
User21187,3,2,5,3,2,2
User21188,5,5,5,5,5,1
User21189,3,3,5,3,4,5
User21190,1,4,4,5,5,1
User21191,4,5,1,2,1,1
User21192,4,2,3,4,5,4
User21193,3,4,1,1,4,5
User21194,5,3,3,3,2,2
User21195,5,2,4,5,1,4
User21196,4,4,5,2,5,5
User21197,4,1,4,4,4,1
User21198,3,1,5,3,1,1
User21199,2,2,5,1,4,1
User21200,5,3,2,2,3,2
User21201,1,2,2,1,5,5
User21202,3,5,1,1,2,3
User21203,1,1,5,3,2,2
User21204,4,1,5,4,3,3
User21205,4,2,2,3,5,4
User21206,4,1,5,2,4,2
User21207,4,2,4,4,5,3
User21208,5,2,2,2,1,3
User21209,3,2,1,3,1,5
User21210,3,4,5,1,5,3
User21211,3,4,4,4,5,3
User21212,2,4,2,5,1,2
User21213,3,1,4,2,1,1
User21214,2,5,3,4,3,3
User21215,1,5,3,4,4,4
User21216,3,2,1,4,1,1
User21217,4,1,1,2,5,2
User21218,5,2,3,4,5,4
User21219,1,4,5,1,3,4
User21220,5,2,2,1,2,1
User21221,4,4,3,2,5,2
User21222,2,5,4,5,2,5
User21223,4,1,5,5,3,1
User21224,1,1,4,2,3,2
User21225,4,5,4,5,5,5
User21226,3,1,2,3,5,5
User21227,3,5,4,4,4,2
User21228,2,1,4,2,5,4
User21229,3,5,1,4,1,4
User21230,1,2,5,3,4,5
User21231,4,5,3,3,2,2
User21232,3,2,3,3,5,1
User21233,5,3,3,5,1,2
User21234,4,1,3,4,2,5
User21235,2,2,3,3,5,1
User21236,3,4,1,2,5,2
User21237,1,3,1,5,3,2
User21238,1,5,2,3,1,4
User21239,3,4,4,2,4,4
User21240,4,3,3,5,3,3
User21241,1,1,1,1,4,1
User21242,3,5,1,4,5,4
User21243,1,4,2,1,2,2
User21244,2,4,4,3,4,5
User21245,4,2,5,4,1,3
User21246,1,3,2,1,2,2
User21247,2,3,3,2,5,4
User21248,4,1,3,1,3,3
User21249,2,5,5,1,2,5
User21250,4,2,5,2,1,1
User21251,4,5,1,4,4,4
User21252,5,5,4,4,5,3
User21253,1,4,1,1,4,4
User21254,2,5,4,1,2,1
User21255,5,4,3,2,5,1
User21256,3,3,5,1,3,5
User21257,3,1,2,2,2,3
User21258,2,4,1,5,5,5
User21259,5,5,3,2,1,5
User21260,4,2,4,5,1,5
User21261,5,3,1,4,5,1
User21262,4,1,4,1,5,4
User21263,5,4,4,2,2,2
User21264,1,5,2,3,5,3
User21265,1,3,4,2,1,3
User21266,4,4,2,2,1,2
User21267,5,4,1,4,5,2
User21268,1,2,2,4,1,5
User21269,3,2,4,1,5,3
User21270,5,3,5,5,5,1
User21271,4,4,3,1,5,4
User21272,2,1,2,3,3,1
User21273,3,1,4,5,3,5
User21274,5,3,2,1,1,2
User21275,1,3,1,3,2,3
User21276,3,2,1,1,4,1
User21277,4,3,1,4,4,2
User21278,2,4,4,2,1,1
User21279,4,2,3,4,1,4
User21280,4,1,4,5,4,4
User21281,5,5,2,2,5,3
User21282,2,4,3,3,1,4
User21283,4,5,3,4,1,2
User21284,1,5,2,2,2,2
User21285,2,4,3,1,4,4
User21286,5,1,3,1,4,5
User21287,1,1,4,3,3,1
User21288,3,3,1,4,4,5
User21289,1,1,5,5,2,5
User21290,1,2,1,3,5,4
User21291,2,2,4,1,3,2
User21292,5,4,3,5,2,5
User21293,4,1,5,3,5,5
User21294,2,3,1,4,3,4
User21295,3,2,5,3,2,1
User21296,1,3,4,2,5,4
User21297,1,1,4,5,5,1
User21298,4,5,1,4,4,3
User21299,1,3,5,3,3,2
User21300,4,5,4,2,4,2
User21301,2,1,5,5,2,5
User21302,1,3,2,4,3,1
User21303,4,2,2,3,5,1
User21304,3,4,1,3,2,5
User21305,2,3,3,1,2,1
User21306,1,4,5,2,5,5
User21307,2,5,3,5,5,3
User21308,1,3,1,5,2,2
User21309,5,5,1,3,2,2
User21310,2,3,1,2,2,2
User21311,2,1,3,5,1,3
User21312,4,3,5,5,4,4
User21313,2,5,3,5,1,2
User21314,4,4,5,1,3,1
User21315,3,2,4,5,2,1
User21316,3,1,5,1,1,5
User21317,1,4,2,1,4,5
User21318,2,2,1,2,5,1
User21319,3,5,5,3,5,1
User21320,3,3,2,3,3,1
User21321,5,4,4,1,3,4
User21322,1,2,1,5,2,3
User21323,3,1,5,5,5,1
User21324,5,5,5,4,4,3
User21325,4,1,2,4,4,5
User21326,2,2,4,3,2,4
User21327,2,5,4,3,1,5
User21328,3,2,1,1,1,5
User21329,2,2,4,1,2,3
User21330,5,4,3,1,1,2
User21331,5,4,3,3,2,3
User21332,5,2,5,5,1,3
User21333,4,3,3,5,4,4
User21334,5,3,2,2,1,5
User21335,1,2,5,4,2,5
User21336,1,3,3,3,2,4
User21337,3,2,3,4,1,4
User21338,3,5,2,4,5,5
User21339,3,3,4,2,2,3
User21340,1,4,4,4,1,4
User21341,5,3,5,5,5,4
User21342,3,2,4,2,5,4
User21343,4,5,3,5,5,2
User21344,1,2,3,2,2,2
User21345,4,3,1,4,5,3
User21346,4,5,3,5,2,1
User21347,2,2,1,4,5,2
User21348,3,2,3,4,2,1
User21349,5,2,5,5,1,3
User21350,5,3,4,1,2,5
User21351,3,1,2,1,1,3
User21352,4,2,3,1,1,5
User21353,5,4,4,3,4,2
User21354,2,3,1,2,4,1
User21355,1,2,1,3,2,4
User21356,4,4,5,5,3,5
User21357,5,4,5,2,5,3
User21358,3,2,1,3,4,2
User21359,2,4,3,5,1,1
User21360,1,4,3,4,1,4
User21361,4,2,1,2,1,3
User21362,1,4,5,3,3,4
User21363,4,3,1,1,2,4
User21364,1,2,4,2,3,3
User21365,3,4,2,5,3,3
User21366,1,4,1,2,5,4
User21367,2,5,5,5,3,4
User21368,1,2,4,4,5,2
User21369,2,3,4,4,1,5
User21370,3,5,1,5,5,2
User21371,3,4,2,1,3,3
User21372,3,4,4,1,5,2
User21373,1,4,2,3,4,3
User21374,1,4,1,4,2,4
User21375,3,3,1,3,5,5
User21376,2,5,1,1,1,5
User21377,4,3,3,4,1,3
User21378,4,3,1,3,5,5
User21379,5,4,3,2,4,1
User21380,3,1,1,3,5,5
User21381,5,5,2,3,4,2
User21382,2,3,4,1,1,2
User21383,1,3,3,2,1,4
User21384,1,3,2,4,4,3
User21385,2,2,5,5,2,4
User21386,5,1,3,1,3,1
User21387,3,1,2,3,3,3
User21388,3,4,4,3,3,2
User21389,5,1,2,2,1,5
User21390,2,5,3,2,3,4
User21391,4,5,5,3,1,4
User21392,4,5,5,2,1,2
User21393,4,4,3,3,3,2
User21394,2,4,3,5,5,3
User21395,3,3,4,5,3,1
User21396,2,2,2,3,4,3
User21397,4,4,5,4,2,3
User21398,5,3,3,5,2,4
User21399,5,5,5,2,4,3
User21400,3,1,1,2,1,4
User21401,4,4,3,1,3,1
User21402,1,4,3,1,5,1
User21403,1,1,5,5,2,5
User21404,1,5,2,3,3,5
User21405,5,1,3,2,1,5
User21406,1,2,3,1,2,3
User21407,3,2,1,5,1,4
User21408,2,3,2,1,2,4
User21409,1,3,3,2,5,2
User21410,3,3,4,5,1,2
User21411,2,1,1,1,1,1
User21412,4,5,5,4,1,5
User21413,3,4,5,2,3,3
User21414,3,1,5,3,3,3
User21415,3,5,4,5,5,2
User21416,5,1,4,4,4,5
User21417,4,5,4,4,3,3
User21418,3,4,4,1,4,4
User21419,3,1,3,3,5,2
User21420,3,5,1,4,5,5
User21421,3,3,4,1,1,2
User21422,3,2,2,4,3,2
User21423,3,2,2,2,2,4
User21424,2,1,5,4,2,1
User21425,4,1,4,4,5,4
User21426,3,1,5,1,2,1
User21427,3,3,5,1,5,1
User21428,2,3,4,2,5,1
User21429,2,4,3,4,3,3
User21430,2,3,5,4,3,4
User21431,1,2,5,2,3,4
User21432,3,2,2,1,2,4
User21433,2,3,2,2,3,4
User21434,5,5,5,1,2,5
User21435,4,2,2,5,2,5
User21436,2,1,3,2,2,2
User21437,3,1,1,4,2,1
User21438,4,3,2,5,2,2
User21439,1,3,2,4,4,2
User21440,3,5,2,5,3,2
User21441,4,5,1,4,3,5
User21442,3,3,5,2,5,4
User21443,5,2,5,2,2,4
User21444,4,4,1,4,5,1
User21445,5,4,2,1,4,1
User21446,1,3,5,1,3,5
User21447,3,2,2,1,4,3
User21448,5,3,5,2,1,4
User21449,2,1,4,2,2,2
User21450,2,2,2,3,1,3
User21451,3,2,5,2,2,1
User21452,2,3,3,5,3,5
User21453,1,3,2,1,5,3
User21454,1,1,3,5,2,5
User21455,3,2,1,2,3,2
User21456,2,1,3,2,4,2
User21457,2,3,3,3,1,3
User21458,4,2,2,3,2,4
User21459,2,3,3,3,5,4
User21460,2,3,5,4,2,1
User21461,3,2,4,1,2,3
User21462,3,5,4,5,1,1
User21463,4,1,2,1,3,1
User21464,3,2,3,2,1,2
User21465,5,5,5,4,5,2
User21466,4,3,4,5,5,3
User21467,3,5,5,3,2,4
User21468,1,4,2,4,5,5
User21469,1,4,1,1,1,1
User21470,2,5,3,2,5,2
User21471,3,5,2,1,2,4
User21472,3,4,5,2,4,1
User21473,1,2,5,3,5,1
User21474,5,1,3,5,4,1
User21475,3,4,4,3,1,1
User21476,4,2,5,4,5,2
User21477,2,2,4,3,3,3
User21478,3,2,1,1,2,4
User21479,5,1,1,3,3,2
User21480,5,2,3,3,4,5
User21481,3,1,2,3,4,4
User21482,1,3,5,4,2,5
User21483,4,5,1,4,1,4
User21484,2,1,5,1,5,1
User21485,5,5,5,4,4,2
User21486,3,2,2,2,1,4
User21487,2,3,2,5,2,3
User21488,1,4,4,2,3,3
User21489,3,3,2,5,5,4
User21490,5,3,5,2,4,4
User21491,5,5,2,3,1,1
User21492,1,3,3,4,4,5
User21493,1,5,1,4,4,3
User21494,4,5,2,3,1,5
User21495,4,1,4,4,1,3
User21496,1,3,3,3,4,5
User21497,4,5,2,3,2,4
User21498,5,5,5,2,2,2
User21499,4,2,2,4,5,3
User21500,4,4,3,2,2,1
User21501,5,4,5,1,1,2
User21502,3,1,4,4,1,2
User21503,5,4,2,4,2,4
User21504,1,2,2,2,3,4
User21505,1,4,5,4,4,3
User21506,1,3,3,4,3,3
User21507,3,2,3,4,4,2
User21508,2,3,2,4,3,2
User21509,2,4,1,3,5,2
User21510,1,2,1,5,3,3
User21511,2,4,4,3,3,1
User21512,4,3,3,3,5,2
User21513,2,5,1,3,2,4
User21514,1,3,2,2,3,3
User21515,5,2,4,1,3,1
User21516,4,4,5,5,3,2
User21517,5,2,4,2,2,1
User21518,2,4,2,5,5,4
User21519,4,5,2,5,3,4
User21520,1,4,3,2,1,5
User21521,3,3,4,1,3,5
User21522,1,2,5,1,1,5
User21523,1,2,2,2,2,4
User21524,2,1,5,3,5,5
User21525,5,2,1,1,5,1
User21526,4,5,1,3,3,2
User21527,5,1,3,2,4,1
User21528,3,4,2,1,4,3
User21529,2,1,2,4,5,1
User21530,5,1,2,2,4,5
User21531,5,4,1,1,5,3
User21532,4,1,3,4,2,1
User21533,4,1,5,5,5,4
User21534,2,1,1,5,4,5
User21535,1,1,1,1,5,1
User21536,2,5,3,4,5,4
User21537,5,1,2,1,5,2
User21538,5,5,1,3,3,2
User21539,5,3,2,1,1,1
User21540,4,5,2,1,4,5
User21541,2,4,2,4,3,2
User21542,2,5,4,5,2,3
User21543,2,4,5,3,3,4
User21544,4,3,1,3,3,2
User21545,2,2,2,5,3,4
User21546,1,4,4,2,4,4
User21547,4,1,4,3,2,3
User21548,1,5,1,5,3,5
User21549,5,2,4,2,2,1
User21550,2,1,2,1,1,5
User21551,5,1,2,2,1,3
User21552,2,2,4,4,5,1
User21553,1,5,2,3,1,2
User21554,2,2,4,1,1,3
User21555,4,2,2,1,3,1
User21556,5,5,4,5,3,4
User21557,4,1,3,1,5,3
User21558,2,1,4,4,5,5
User21559,4,2,4,1,1,1
User21560,4,2,4,4,4,5
User21561,1,2,5,5,5,4
User21562,4,3,1,5,5,5
User21563,3,4,5,1,1,1
User21564,2,3,3,4,4,5
User21565,1,3,5,5,3,5
User21566,2,2,3,4,2,3
User21567,5,4,5,4,1,3
User21568,1,2,4,1,2,1
User21569,4,2,2,4,1,1
User21570,5,2,5,1,4,4
User21571,5,4,5,1,2,5
User21572,4,5,3,1,4,2
User21573,2,1,2,3,5,5
User21574,5,4,3,4,1,3
User21575,3,5,3,4,4,1
User21576,4,2,4,1,2,2
User21577,2,3,3,3,1,1
User21578,4,2,3,1,2,1
User21579,5,2,2,4,3,2
User21580,5,5,2,5,4,4
User21581,1,1,5,5,3,4
User21582,1,3,2,4,5,3
User21583,4,4,3,4,1,2
User21584,2,2,2,2,2,4
User21585,4,2,2,3,1,1
User21586,2,2,3,2,1,3
User21587,2,5,5,4,4,1
User21588,1,4,2,3,3,5
User21589,2,1,1,5,2,5
User21590,2,1,2,2,3,3
User21591,4,5,2,4,2,5
User21592,3,3,1,5,3,4
User21593,3,4,4,1,4,1
User21594,5,5,4,1,4,1
User21595,3,3,4,1,1,1
User21596,2,5,4,4,1,5
User21597,4,4,3,3,3,2
User21598,3,2,3,2,4,2
User21599,5,3,2,2,4,2
User21600,4,2,1,5,5,5
User21601,1,5,5,4,4,4
User21602,2,3,5,4,4,4
User21603,1,3,3,2,3,4
User21604,3,1,1,5,2,2
User21605,5,2,2,3,3,5
User21606,4,3,1,5,2,1
User21607,4,3,3,2,4,3
User21608,4,2,4,2,5,5
User21609,1,2,3,3,1,5
User21610,4,3,3,4,4,4
User21611,1,3,4,1,1,4
User21612,3,2,3,1,1,2
User21613,2,4,5,1,4,1
User21614,2,1,4,1,4,1
User21615,4,1,5,5,5,1
User21616,1,2,3,1,2,5
User21617,2,5,2,5,1,4
User21618,1,5,3,2,4,3
User21619,5,4,4,4,1,2
User21620,4,2,4,2,3,5
User21621,5,3,5,3,5,2
User21622,3,1,3,5,5,5
User21623,3,5,5,5,1,5
User21624,1,5,3,3,2,2
User21625,5,2,5,4,1,2
User21626,3,1,2,4,2,2
User21627,2,2,2,1,5,1
User21628,1,1,2,3,3,4
User21629,5,4,3,5,4,3
User21630,2,2,4,2,3,4
User21631,2,4,2,3,4,2
User21632,5,4,1,3,2,4
User21633,3,4,5,1,5,3
User21634,2,4,2,5,1,5
User21635,5,4,5,4,2,1
User21636,4,5,4,5,1,5
User21637,1,2,3,2,1,3
User21638,2,3,5,3,3,1
User21639,4,2,4,5,2,3
User21640,2,3,4,3,4,5
User21641,1,1,5,4,2,5
User21642,2,4,3,2,2,4
User21643,2,5,1,4,1,5
User21644,2,2,2,5,5,1
User21645,3,1,1,5,2,2
User21646,1,5,5,4,1,5
User21647,4,3,5,3,4,5
User21648,5,4,4,5,2,1
User21649,2,5,3,1,5,2
User21650,1,1,3,4,5,2
User21651,1,4,4,4,4,4
User21652,1,5,2,2,5,1
User21653,4,3,2,1,3,3
User21654,5,3,3,1,2,5
User21655,3,4,1,5,1,2
User21656,3,5,4,1,1,2
User21657,5,1,5,3,1,5
User21658,1,1,2,5,5,4
User21659,4,1,4,5,4,5
User21660,3,5,2,4,2,4
User21661,3,5,3,3,5,3
User21662,3,2,5,3,4,5
User21663,2,2,1,1,5,4
User21664,4,3,4,1,4,5
User21665,5,2,5,3,3,2
User21666,1,5,2,5,2,4
User21667,2,2,5,1,3,1
User21668,1,4,4,2,2,3
User21669,4,3,2,4,1,4
User21670,1,1,3,1,5,1
User21671,5,3,5,4,1,3
User21672,1,5,5,5,4,4
User21673,3,5,3,3,5,2
User21674,3,4,4,3,1,3
User21675,1,5,4,1,5,3
User21676,5,2,3,3,3,4
User21677,3,1,4,5,3,4
User21678,4,4,2,4,2,3
User21679,5,4,3,4,2,1
User21680,4,2,5,3,5,2
User21681,3,1,3,3,4,2
User21682,5,2,5,5,1,3
User21683,5,2,1,4,4,2
User21684,2,5,3,5,2,1
User21685,1,5,2,2,5,5
User21686,1,3,5,4,4,1
User21687,4,1,2,1,4,1
User21688,5,2,2,3,1,5
User21689,4,2,1,3,3,2
User21690,4,1,5,2,2,1
User21691,5,4,4,4,5,4
User21692,2,2,4,5,4,5
User21693,2,1,5,4,4,4
User21694,2,1,5,2,2,2
User21695,4,4,5,3,2,4
User21696,1,2,2,5,2,2
User21697,2,3,2,1,3,4
User21698,3,4,1,3,3,2
User21699,3,4,3,5,1,5
User21700,2,2,2,3,5,2
User21701,5,2,3,1,2,4
User21702,1,4,1,3,5,4
User21703,1,2,3,5,3,2
User21704,2,5,5,1,2,3
User21705,2,2,2,2,5,3
User21706,2,1,5,5,3,3
User21707,5,3,5,4,1,3
User21708,4,1,4,1,5,4
User21709,3,3,1,3,3,1
User21710,4,3,4,1,5,3
User21711,5,1,2,4,2,1
User21712,1,4,5,4,3,2
User21713,1,4,3,2,1,3
User21714,3,5,2,2,2,2
User21715,5,1,2,3,4,5
User21716,5,2,5,4,4,4
User21717,4,4,1,5,4,4
User21718,2,4,4,1,2,1
User21719,3,2,2,5,5,5
User21720,4,1,5,2,1,2
User21721,1,4,5,4,1,2
User21722,3,3,1,1,5,5
User21723,3,1,5,1,4,2
User21724,4,4,1,5,4,5
User21725,5,4,5,4,4,4
User21726,4,5,4,4,5,1
User21727,4,2,1,3,3,3
User21728,3,3,2,2,4,3
User21729,1,4,1,4,4,1
User21730,3,2,5,2,2,1
User21731,3,4,1,3,3,3
User21732,2,1,3,5,4,5
User21733,1,5,2,2,2,2
User21734,5,2,5,4,1,3
User21735,2,5,1,1,1,4
User21736,3,4,4,1,4,2
User21737,4,3,2,1,4,2
User21738,3,1,2,2,2,4
User21739,1,4,3,4,5,2
User21740,2,3,5,5,3,3
User21741,2,2,5,5,1,2
User21742,5,1,5,3,3,1
User21743,4,5,1,4,3,4
User21744,2,1,3,5,4,5
User21745,2,3,3,1,1,1
User21746,5,4,2,4,5,5
User21747,5,1,5,3,3,2
User21748,3,5,2,3,3,5
User21749,4,1,1,3,3,5
User21750,1,3,4,3,5,3
User21751,1,4,5,2,1,1
User21752,5,3,1,3,3,3
User21753,4,5,1,2,4,2
User21754,1,1,5,1,1,3
User21755,3,4,4,5,5,5
User21756,2,2,1,3,3,4
User21757,5,3,5,1,4,2
User21758,4,5,5,5,3,2
User21759,4,1,5,3,3,2
User21760,1,4,5,1,5,5
User21761,4,1,3,1,1,4
User21762,2,3,5,3,1,1
User21763,1,3,2,5,1,1
User21764,2,2,3,4,1,5
User21765,4,5,5,2,2,5
User21766,2,3,3,2,5,3
User21767,1,3,1,3,4,1
User21768,2,5,3,2,5,3
User21769,4,2,2,3,5,1
User21770,3,4,1,2,1,3
User21771,4,3,1,5,1,2
User21772,3,2,3,2,2,3
User21773,1,1,1,1,4,4
User21774,5,2,2,3,5,5
User21775,3,5,4,5,2,3
User21776,5,1,2,2,5,3
User21777,4,3,1,5,2,5
User21778,5,1,3,3,5,1
User21779,5,4,3,1,4,1
User21780,3,4,2,1,2,1
User21781,4,1,4,2,2,4
User21782,1,4,4,1,1,4
User21783,2,3,3,1,5,2
User21784,5,4,5,3,5,2
User21785,4,3,3,5,5,2
User21786,4,1,3,2,3,2
User21787,5,4,3,4,2,4
User21788,5,4,3,4,3,2
User21789,5,5,4,3,1,4
User21790,4,5,5,5,5,5
User21791,3,3,1,4,2,5
User21792,4,2,2,5,3,5
User21793,2,4,3,4,3,4
User21794,4,5,2,2,1,4
User21795,2,3,2,2,3,2
User21796,1,5,3,4,4,5
User21797,4,5,2,5,5,4
User21798,3,3,5,4,1,4
User21799,2,5,5,5,1,1
User21800,3,2,5,2,2,2
User21801,2,3,5,3,2,4
User21802,4,3,4,3,4,2
User21803,1,4,5,5,4,4
User21804,3,2,1,4,1,2
User21805,3,4,3,5,2,2
User21806,3,4,1,5,1,2
User21807,3,5,2,1,1,5
User21808,1,2,3,3,3,5
User21809,3,2,3,1,4,4
User21810,4,2,5,4,2,3
User21811,1,3,3,4,5,5
User21812,1,2,2,3,5,5
User21813,3,2,1,4,4,4
User21814,1,3,2,2,5,4
User21815,4,4,4,1,3,5
User21816,3,4,3,3,5,5
User21817,1,3,2,5,5,2
User21818,4,4,5,5,2,1
User21819,5,3,4,4,1,2
User21820,4,5,3,1,3,5
User21821,2,1,4,1,5,2
User21822,4,1,2,4,2,4
User21823,4,2,5,3,5,5
User21824,1,3,4,4,3,1
User21825,5,5,4,1,4,3
User21826,2,2,5,3,4,5
User21827,2,5,5,2,4,1
User21828,5,3,2,4,1,5
User21829,4,4,3,2,3,5
User21830,3,5,1,3,2,4
User21831,5,5,5,4,3,3
User21832,3,5,3,3,3,1
User21833,3,4,1,2,1,1
User21834,4,1,1,2,4,4
User21835,5,5,3,2,2,1
User21836,5,3,1,1,4,5
User21837,5,1,3,4,2,4
User21838,3,1,3,1,1,2
User21839,4,3,2,4,2,3
User21840,4,3,5,5,1,2
User21841,3,3,5,2,5,2
User21842,1,5,4,5,3,2
User21843,3,1,3,5,1,1
User21844,3,1,2,1,2,5
User21845,5,2,4,5,2,5
User21846,1,1,1,2,5,3
User21847,4,3,5,5,5,1
User21848,2,3,5,1,5,1
User21849,4,3,1,2,4,2
User21850,5,5,5,4,2,1
User21851,1,1,4,2,2,3
User21852,2,5,4,3,4,3
User21853,5,4,1,5,2,2
User21854,5,2,4,2,3,3
User21855,4,3,4,4,2,4
User21856,5,1,4,3,1,1
User21857,2,3,3,5,1,2
User21858,3,3,5,2,5,3
User21859,3,1,2,4,5,5
User21860,2,5,2,3,4,3
User21861,3,2,4,1,1,2
User21862,4,2,2,1,4,2
User21863,5,3,3,3,4,1
User21864,2,5,5,1,4,5
User21865,5,3,1,4,3,2
User21866,3,5,3,4,3,5
User21867,4,4,4,4,4,4
User21868,4,5,2,3,4,4
User21869,5,3,5,2,1,2
User21870,3,2,5,3,3,3
User21871,1,3,1,3,5,2
User21872,2,4,5,4,2,2
User21873,3,2,4,1,3,4
User21874,3,3,3,1,1,4
User21875,2,1,2,2,3,5
User21876,3,5,5,3,1,4
User21877,4,2,4,2,4,5
User21878,4,1,3,4,4,4
User21879,5,4,4,1,4,4
User21880,3,2,1,2,5,5
User21881,2,1,3,4,5,4
User21882,5,5,2,4,5,3
User21883,2,5,2,1,3,4
User21884,5,2,2,1,3,3
User21885,5,2,2,4,5,3
User21886,2,1,3,3,4,5
User21887,2,1,3,3,5,2
User21888,2,1,5,1,2,1
User21889,2,2,3,3,1,4
User21890,5,5,2,2,3,5
